State,City,Venue,,Zone,Section,Row,Qty,Price
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,1,Z,1,153.88
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,1,Z,1,162.67
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,216,M,2,78.18
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,106,J,2,115.12
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,213,K,2,83.06
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,1,G,2,162.67
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,213,G,1,78.18
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,1,G,4,148.17
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,106,D,2,225.6
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,1,F,3,163.35
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,104,C,2,220.34
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,112,E,2,196.9
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,101,B,2,168.75
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,209,C,2,118.61
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,213,G,2,73.22
PA,Pittsburgh,PPG Paints Arena,09/01/24,Floor,Floor,R,2,277.57
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,122,T,4,149.27
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,109,N,2,115.16
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,210,M,2,125.07
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,103,R,4,166.11
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,205,D,2,133.85
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,208,N,2,128.16
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,107,Z,2,188.09
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,110,H,4,211.34
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,122,Q,3,175.42
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,110,D,2,199.24
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,212,P,2,156.92
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,107,W,2,225.32
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,208,P,4,143.68
PA,Pittsburgh,PPG Paints Arena,09/01/24,Lower,104,J,1,127.05
PA,Pittsburgh,PPG Paints Arena,09/01/24,Upper,213,G,2,72.26
PA,Pittsburgh,PPG Paints Arena,08/31/24,Floor,3,F,2,149.71
PA,Pittsburgh,PPG Paints Arena,08/31/24,Upper,217,A,1,101.84
PA,Pittsburgh,PPG Paints Arena,08/31/24,Floor,3,G,1,161.08
PA,Pittsburgh,PPG Paints Arena,08/31/24,Lower,105,M,1,129.55
PA,Pittsburgh,PPG Paints Arena,08/31/24,Upper,216,,2,64.95
PA,Pittsburgh,PPG Paints Arena,08/31/24,Floor,1,B,1,296.8
PA,Pittsburgh,PPG Paints Arena,08/31/24,Lower,102,L,2,84.03
PA,Pittsburgh,PPG Paints Arena,08/31/24,Lower,113,B,2,106.27
PA,Pittsburgh,PPG Paints Arena,08/31/24,Lower,108,L,2,124.78
PA,Pittsburgh,PPG Paints Arena,08/30/24,Floor,3,C,1,156.23
PA,Pittsburgh,PPG Paints Arena,08/30/24,Lower,107,P,1,115.12
PA,Pittsburgh,PPG Paints Arena,08/30/24,Upper,208,A,1,95.55
PA,Pittsburgh,PPG Paints Arena,08/30/24,Upper,205,L,1,73.15
PA,Pittsburgh,PPG Paints Arena,08/30/24,Lower,104,E,2,90.96
PA,Pittsburgh,PPG Paints Arena,08/29/24,Floor,3,E,2,148.86
PA,Pittsburgh,PPG Paints Arena,08/29/24,Upper,213,G,3,71.44
PA,Pittsburgh,PPG Paints Arena,08/29/24,Upper,213,D,2,94.28
PA,Pittsburgh,PPG Paints Arena,08/29/24,Lower,113,K,2,91.14
PA,Pittsburgh,PPG Paints Arena,08/29/24,Lower,114,J,1,194.58
PA,Pittsburgh,PPG Paints Arena,08/29/24,Floor,1,C,2,156.97
PA,Pittsburgh,PPG Paints Arena,08/29/24,Lower,113,L,2,88.49
PA,Pittsburgh,PPG Paints Arena,08/28/24,Lower,104,F,2,77.6
PA,Pittsburgh,PPG Paints Arena,08/28/24,Lower,110,G,2,139.79
PA,Pittsburgh,PPG Paints Arena,08/28/24,Floor,5,A,2,251.5
PA,Pittsburgh,PPG Paints Arena,08/28/24,Upper,221,N,2,91.89
PA,Pittsburgh,PPG Paints Arena,08/28/24,Upper,221,C,2,69.07
PA,Pittsburgh,PPG Paints Arena,08/28/24,Lower,112,B,2,174.81
PA,Pittsburgh,PPG Paints Arena,08/27/24,Lower,109,K,4,130.55
PA,Pittsburgh,PPG Paints Arena,08/27/24,Lower,110,G,2,82.21
PA,Pittsburgh,PPG Paints Arena,08/27/24,Upper,214,M,2,126.11
